Date,Pair,Type,Session,Trade type,Setup,Wave context,Win or loss,Trend filter result,Comment
12/06/2023,EUR/USD,↑,New York,Wave 3,Big Shadow,2 → 3,Win,Aligned (Price above 200 SMA D1 & 50 EMA 4H),Entered a traded into wave 3. Moved the SL to BE and the price kept rising. Moved the TP +1R and moved the SL to 1R. Price lingered around resistance line and fell. Closed the trade at 1.09242
22/06/2023,EUR/USD,↑,Asia,Wave 5,Big Shadow,4 → 5,Loss,Aligned (Price above 200 SMA D1 & 50 EMA 4H),Entered a trade in the beginning of wave 5 on the 4H chart. I dropped to 1H and entered a bit late - 10 candles after Big Shadow in the Asia session. The SL was hit. At the time I entered RSI was overbought and MACD was declining.
27/06/2023,EUR/USD,↑,London,Wave 5,Last Kiss,4 → 5,Loss,Aligned (Price above 200 SMA D1 & 50 EMA 4H),Watched the correction go deeper from the former structure. Waited for 6.18 level and dropped to 1H chart. Waited for a trigger and got a Last Kiss a day after. SL was hit and EMA turned bearish.
27/06/2023,EUR/USD,↓,London,Wave 3,Big Shadow,2 → 3,Win,Aligned (Price above 200 SMA D1 & 50 EMA 4H),"On Aug 1st moved the SL to BE - the price was flat for three days, indicating the wave 3 is unlikely. And possible descending triangle on the 4H chart. The trade is exited on the BE. "
21/02/2022,EUR/USD,↓,New York,Wave 3,Last Kiss,2 → 3,Loss,Aligned (Price above 200 SMA D1 & 50 EMA 4H),"Observed a valid Last Kiss setup following a clear 4H impulse (wave 1) and a deep wave 2 correction that evolved into a prolonged flat, forming a consolidation box. Entry was taken via sell stop after a retouch, but price was still being accepted at the box edge. The retouch candles were conservative and lacked bearish displacement, resulting in a fake-out and stop-loss hit. Two days later, price dropped ~1.5% after an aggressive bearish candle, confirming the directional bias but highlighting that the entry was premature. Key lesson: correct analysis, poor timing — Last Kiss entries require clear rejection and momentum away from the box, not mere retests."
01/03/2022,EUR/USD,↓,London,Wave 5,Big Shadow,4 → 5,Win,Aligned (Price above 200 SMA D1 & 50 EMA 4H),"After allowing wave 4 to fully complete on the 4H chart, dropped to 1H and waited for confirmation. A clear bearish Big Shadow formed on Mar 1 at 17:00, showing strong rejection at structure. Entered short via sell stop with SL just above the Big Shadow high and TP at the 1.618 Fibonacci extension, targeting wave 5. Stop was moved to breakeven on Mar 3 per plan. Price followed through impulsively and hit TP on Mar 4. Key takeaway: patience and aggressive candle confirmation turned the same directional bias into a high-quality A+ trade."
04/04/2022,EUR/USD,↓,New York,,Big Shadow,,Win,Aligned (bearish),"After a prior bearish impulse, price entered a corrective phase. An impulse was recognized later once structure became clear. A trendline drawn from the two previous lows aligned with a 4H key level, forming strong confluence. Price was rejected from this area, and a clear bearish Big Shadow formed on the 1H chart on Apr 4 at 18:00. Entered short via sell stop with SL above the Big Shadow. Stop was moved to breakeven on Apr 5 at 22:00 per plan. Price continued lower and hit TP on Apr 8 at 14:00. Key takeaway: patience and structural confluence combined with rejection-based entry produce high-quality outcomes."
26/04/2022,EUR/USD,↓,London,Wave 3,Big Shadow,2 → 3,Win,Aligned (bearish),"Entered short on Apr 24 after identifying a shallow wave-2 correction (~38.2%) following a strong bearish impulse. Fibonacci retracement was drawn correctly, and I waited for confirmation that the correction was complete. A bearish Big Shadow formed on the 1H just below the 0% of wave 1, confirming rejection and continuation. Entered short with SL above the Big Shadow and moved stop to breakeven on Apr 25. Target was based on a 1.618–2.618 extension of wave 1, with awareness of the 1.05406 key level. Position was closed at 1.05505 due to proximity to structure. Outcome: +2.87R. Key takeaway: shallow corrections in strong trends paired with rejection candles provide high-quality continuation entries."
10/06/2022,EUR/USD,↓,London,Wave 3,Last Kiss,2 → 3,Win,Aligned (bearish),"After a completed 5-wave structure, price entered a clear consolidation range. On June 9, strong bearish pressure appeared, signaling potential range resolution. A sell stop was placed on June 10 and activated on breakdown. With a daily key level at 1.05406 nearby, the stop loss was conservatively placed in the middle of the box, and the take-profit was set at 2R rather than an extension target. Price followed through cleanly and hit TP the following day. Outcome: +2.19R. Key takeaway: adapting risk and expectations to consolidation breakouts leads to clean, low-stress profits."
01/07/2022,EUR/USD,↓,London,Wave 3,Big Shadow,2 → 3,Loss,Aligned (Price above 200 SMA D1 & 50 EMA 4H),"Identified a developing wave 3 in a bearish environment but entered late into the impulse due to hesitation. A Big Shadow formed on July 1 at 14:00, and I entered short with SL and TP placed per plan. However, the entry occurred after significant displacement, and the candle formed inside an extended move rather than at a transition or retest. Price retraced and hit the stop loss. Outcome: -1R. Key takeaway: Big Shadow entries lose effectiveness when taken late in an impulse; better to wait for a corrective retest or skip the trade entirely.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Post-review note: Stop placement was technically correct, but entry occurred late in wave 3. Normal corrective retrace stopped the trade before continuation. Lesson: avoid Big Shadow entries inside extended impulses or widen stop to structural level."
11/08/2022,EUR/USD,↑,London,Wave 5,,,Loss,,"Observed a long wave-4 flat consolidation after a bearish Elliott structure and anticipated a directional resolution due to extended price compression and historical lows. Drew a consolidation box and waited for a breakout followed by a Last Kiss entry. Entered long on Aug 11 after a retouch, with SL placed at the midpoint of the box. Price moved briefly higher but failed and hit the stop loss. Outcome: -1R. Post-review: trade was taken in a neutral market with no higher-timeframe trend or impulse clarity. Last Kiss setup occurred in balance conditions with multiple fake-outs. Key takeaway: avoid breakout trades without clear directional bias and structural imbalance, regardless of perceived “cheap” price."
